100000;OK
100001;Confirm
100002;
100003;Edit
100004;
100005;
100006;
100007;
100008;
100009;
100010;Select/unselect
100040;Next
100041;Next
100042;
100043;
100044;
100045;
100046;
100047;
100048;
100049;
100050;Effect details
100051;
100052;
100053;
100054;
100055;
100056;
100057;
100058;
100059;
100060;Switch
100061;
100062;
100063;
100064;
100065;
100066;
100067;
100068;
100069;
100070;Favorites
100071;
100072;
100073;
100074;
100075;
100076;
100077;
100078;
100079;
100080;Replicate
100081;Acquire
100082;
100083;
100084;
100085;
100086;
100087;
100088;
100089;
100090;OK
100091;
100092;
100093;
100094;
100095;
100096;
100097;
100098;
100099;
100100;Begin
100101;Conclude
100102;Resume
101103;Postpone
110000;Back
110001;Close
120000;Remove
120001;Use
120002;
120003;
120004;
120005;
120006;
120007;
120008;
120009;
120010;Swap screen
120011;
120012;
120013;
120014;
120015;
120016;
120017;
120018;
120019;
120020;Sort
120021;
120022;
120023;
120024;
120025;
120026;
120027;
120028;
120029;
120030;Confirm
120060;History
120090;Remove
120091;
120092;
120093;
120094;
120095;
120096;
120097;
120098;
120099;
120100;Ascending
120101;Descending
120120;Sell
120200;View footprints
120201;View summary
120300;Discard
120400;Start
120500;Details
120501;
120502;
120503;
120504;
120505;
120506;
120507;
120508;
120509;
120510;Overview
120600;Leave
121000;Add/remove from favorites
121100;Default loadout
121101;
121102;
121103;
121104;
121105;
121106;
121107;
121108;
121109;
121110;Discard
121111;
121112;
121113;
121114;
121115;
121116;
121117;
121118;
121119;
121120;Reset
121121;Sell now
121122;
121123;
121124;
121125;
121126;
121127;
121128;
121129;
121130;Remove conditions
130000;Swap screen
130001;Swap screen
130002;Equipment Details
130090;Defaults
130091;
130092;
130093;
130094;
130095;
130096;
130097;
130098;
130099;
130100;Equipment details
130101;Player
130102;Report
130103;
130104;
130105;
130106;
130107;
130108;
130109;
130110;Play
130111;Stop
130140;Select/unselect multiple
130141;
130142;
130143;
130144;
130145;
130146;
130147;
130148;
130149;
130150;Visual Codex Info
130151;Standard View
130152;
130153;
130154;
130155;
130156;
130157;
130158;
130159;
130160;Detailed View
130161;Select/unselect all
130162;Swap screen
130163;Swap screen
130164;Swap screen
130165;
130166;
130167;
130168;
130169;
130170;Swap screen
140041;-10
140042;+10
140130;Skip ahead
140200;Switch pin
150004;Scroll
150040;Zoom
150100;Zoom
160000;Help
160001;
160002;
160003;
160004;
160005;
160006;
160007;
160008;
160009;
160010;Back
160011;
160012;
160013;
160014;
160015;
160016;
160017;
160018;
160019;
160020;Skip
160021;Already skipped
160022;
160023;
160024;
160025;
160026;
160027;
160028;
160029;
160030;Add/remove favorites
160031;
160032;Save as Preset
160050;Show Guide Settings
160051;
160052;
160053;
160054;
160055;
160056;
160057;
160058;
160059;
160060;Options
160061;
160062;
160063;
160064;
160065;
160066;
160067;
160068;
160069;
160070;Reduce Depth
200000;Select
200001;Switch page
200002;
200003;
200004;
200005;
200006;Scroll
200007;
200008;Change depth
200009;
200010;Play speed
200011;
200012;Swap screen
200013;
200014;Switch Vessels
301000;Cursor
302360;Zoom
303000;Advance frame-by-frame
303500;Camera movement
320052;Piggyback pin
320053;Delete pin
320054;
320055;
320056;Request pin
320057;Delete pin
320100;Pin
320101;Delete pin
320102;Stack pin
320103;Delete pin
320104;Details
320105;
320106;
320107;Effect Details
320108;
320109;
320110;Go to log
320111;Effect Details
320112;
320113;
320114;
320115;
320116;
320117;
320118;
320119;
320120;Change vessels
320121;All Presets
320122;Preset
320123;
320124;
320125;
320126;
320127;
320128;
320129;
320130;Hold
400003;Remove
