ID,Name,onHitSpEffect,unknown_1,unknown_2,passiveSpEffectId_1,passiveSpEffectId_2,passiveSpEffectId_3,compatibilityId,attachTextId,isPersistentEffect,isNumericEffect,isStrongestEffect,unknown_8a4,isDebuff,unknown_8c,unknown_8d,displayPercentageSymbol,allowWylder,allowGuardian,allowIroneye,allowDuchess,allowRaider,allowRevenant,allowRecluse,allowExecutor,allowScholar,allowUndertaker,unknown_9c3,unknown_9d,statusIconId,overrideBaseEffectId,displayedModifierValue,overrideEffectId,attachFilterParamId,exclusivityId,permanentSpEffectId,
7370901,Relic: Changes compatible armament's incantation to Lightning Stake at start of expedition,-1,-1,-1,7370901,-1,-1,300,7370901,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20207,100,0,100,7370901,200,-1
8989010,Weapon Power: Power of the Wolf's Blood,-1,-1,-1,8989010,-1,-1,100,8989010,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,8981914
9040600,Weapon Power: Power of the Twin Moon Knight,-1,-1,-1,-1,-1,-1,100,9040600,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040601,Scorching Radiance,-1,-1,-1,-1,-1,-1,100,9040601,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040602,Weapon Power: Power of the Painting's Ash,-1,-1,-1,-1,-1,-1,100,9040602,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040603,Weapon Power: Power of the Twin Princes,-1,-1,-1,8981505,-1,-1,100,9040603,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040604,Weapon Power: Power of the Darkeater,-1,1,1,-1,-1,-1,100,9040604,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040605,Weapon Power: Power of the Outrider Knights,-1,0,0,-1,-1,-1,100,9040605,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040606,Weapon Power: Power of the Impaler,-1,0,0,-1,-1,-1,100,9040606,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040607,Weapon Power: Power of the Shadow Tree,-1,0,0,-1,-1,-1,100,9040607,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040608,Weapon Power: Power of the Champion,-1,0,0,-1,100069,-1,100,9040608,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040700,Weapon Power: Power of the Old Gods,-1,-1,-1,8981005,-1,-1,100,9040700,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9040900,Weapon Power: Power of the Pureblood Knights,-1,-1,-1,8981010,8981904,-1,100,9040900,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
9041300,Weapon Power: Power of the Dark Soul,-1,-1,-1,-1,-1,-1,100,9041300,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,20006,-1,0,1,-1,-1,-1
