ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,itemCategory,itemId,chanceWeight,quantity,onlyForClass,eventFlagId,unknown_6,unknown_7,midstPadding,weaponTypeDiscovery,
2000012,<Common~> Common~ Dagger,1,0,[0|0|0],7,10000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Straight Sword,1,0,[0|0|0],7,20000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Greatsword,1,0,[0|0|0],7,30000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Colossal Sword,1,0,[0|0|0],7,40000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Thrusting Sword,1,0,[0|0|0],7,50000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,60000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Curved Sword,1,0,[0|0|0],7,70000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Curved Greatsword,1,0,[0|0|0],7,80000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Katana,1,0,[0|0|0],7,90000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Twinblade,1,0,[0|0|0],7,100000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Hammer,1,0,[0|0|0],7,110000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,120000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,130000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Axe,1,0,[0|0|0],7,140000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,150000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Spear,1,0,[0|0|0],7,160000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,170000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Halberd,1,0,[0|0|0],7,180000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Scythe,1,0,[0|0|0],7,190000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,200000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,210000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,220000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,230000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),0,0,[0|0|0],7,240000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Small Shield,1,0,[0|0|0],7,300000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Medium Shield,1,0,[0|0|0],7,310000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,320000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Staff,1,0,[0|0|0],7,330000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,340000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,400000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Bow,1,0,[0|0|0],7,410000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,420000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> Common~ Crossbow,1,0,[0|0|0],7,430000012,100,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common~> (0% weight),1,0,[0|0|0],7,440000012,0,1,0,0,-1,0,[0|0|0|0],-1
2000012,<Common-> Common- New Weapons,1,0,[0|0|0],7,450000000,1650,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,10000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped New Weapons,1,0,[0|0|0],7,450000002,1650,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,20000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,30000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,40000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Thrusting Sword,1,0,[0|0|0],7,50000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,60000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Curved Sword,1,0,[0|0|0],7,70000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,80000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,90000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Twinblade,1,0,[0|0|0],7,100000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,110000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,120000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,130000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Axe,1,0,[0|0|0],7,140000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Greataxe,1,0,[0|0|0],7,150000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Spear,1,0,[0|0|0],7,160000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,170000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Halberd,1,0,[0|0|0],7,180000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,190000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Whip,1,0,[0|0|0],7,200000053,100,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> (0% weight),1,0,[0|0|0],7,210000053,0,1,0,0,-1,0,[0|0|0|0],-1
2000053,<Rare Untyped> Rare Untyped Claw,1,0,[0|0|0],7,220000053,100,1,0,0,-1,0,[0|0|0|0],-1
