ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
13731000,Lifehunt Scythe,0,0,1,1,[0|0],13730000,0,0,0,0,0,[0|0]
13731100,Lifehunt Scythe_1,0,0,1,1,[0|0],13730100,0,0,0,0,0,[0|0]
13731200,Lifehunt Scythe_1_1,0,0,1,1,[0|0],13730200,0,0,0,0,0,[0|0]
13731300,Lifehunt Scythe_1_1_1,0,0,1,1,[0|0],13730300,0,0,0,0,0,[0|0]
13731400,Lifehunt Scythe_1_1_1_1,0,0,1,1,[0|0],13730400,0,0,0,0,0,[0|0]
2102,Scorching Radiance,0,0,1,1,[0|0],1011,0,0,0,0,0,[0|0]
2103,Scorching Radiance_1,0,0,1,1,[0|0],1012,0,0,0,0,0,[0|0]
13814750,_1,0,745,1,1,[0|0],100092643,0,0,0,0,0,[0|0]
100200900,RKSS,200,900,1,0,[0|0],2330700,0,17,0,1,0,[0|0]
100200901,_1_1,200,901,1,0,[0|0],2330701,0,17,0,11,0,[0|0]
100200905,_1_1_1,200,905,1,0,[0|0],2330705,0,17,0,11,0,[0|0]
100200906,_1_1_1_1,200,906,1,0,[0|0],2330706,0,17,0,11,0,[0|0]
100200910,_1_1_1_1_1,200,910,1,0,[0|0],2330710,0,17,0,11,0,[0|0]
100200911,_1_1_1_1_1_1,200,911,1,0,[0|0],2330711,0,17,0,11,0,[0|0]
100200915,_1_1_1_1_1_1_1,200,915,1,0,[0|0],2330715,0,17,0,11,0,[0|0]
100200916,_1_1_1_1_1_1_1_1,200,916,1,0,[0|0],2330716,0,17,0,11,0,[0|0]
100200920,_1_1_1_1_1_1_1_1_1,200,920,1,0,[0|0],2330720,0,35,0,11,0,[0|0]
100200921,_1_1_1_1_1_1_1_1_1_1,200,921,1,0,[0|0],2330721,0,35,0,11,0,[0|0]
100200925,_1_1_1_1_1_1_1_1_1_1_1,200,925,1,0,[0|0],2330725,0,35,0,11,0,[0|0]
100200926,_1_1_1_1_1_1_1_1_1_1_1_1,200,926,1,0,[0|0],2330726,0,35,0,11,0,[0|0]
100200930,_1_1_1_1_1_1_1_1_1_1_1_1_1,200,930,1,0,[0|0],2330730,0,55,0,11,0,[0|0]
100200931,_1_1_1_1_1_1_1_1_1_1_1_1_1_1,200,931,1,0,[0|0],2330731,0,55,0,11,0,[0|0]
100200935,_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,200,935,1,0,[0|0],2330735,0,55,0,11,0,[0|0]
100200936,_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,200,936,1,0,[0|0],2330736,0,55,0,11,0,[0|0]
