ID,Name,unknown_1,sortGroupId,artsSpeedType,unknown_3a,isRefRightArts,isGrayOutLeftHand,isGrayOutRightHand,isGrayOutBothHand,enableSparringGrounds,swordArtsType,sortId,textId,useMagicPoint_L1,useMagicPoint_L2,useMagicPoint_R1,useMagicPoint_R2,isStartSkill_Duchess,isStartSkill_Wylder,isStartSkill_Executor,isStartSkill_Guardian,isStartSkill_Raider,isStartSkill_Revenant,isStartSkill_Ironeye,isStartSkill_Recluse,defaultWepAttr,iconId,aiUsageId,usabilityTextId,atkParamId,sparringGroundsWeaponId,sparringGroundsEventFlagId,unknown_4a,unknown_4b,unknown_4c,isStartSkill_Scholar,unknown_4e,unknown_4f,unknown_4g,isStartSkill_Undertaker,endPadding,
126,[Standard] Frayed Hold,1,200,1,0,1,1,0,0,0,26,1060,126,-1,0,10,15,0,0,0,0,0,0,0,0,0,7050,11004003,63008,-1,9090000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
127,[Standard] Crow quill,1,200,1,0,1,1,0,0,0,27,1060,127,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,7050,40000000,63008,-1,5070000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
128,[Standard] Blade of Peril,1,210,1,0,1,1,0,0,0,28,1060,128,-1,8,17,17,0,0,0,0,0,0,0,0,0,7050,12001602,63008,-1,3520000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
129,[Standard] Elfriede's Stance,1,210,1,0,1,1,0,0,0,29,1060,129,-1,0,18,10,0,0,0,0,0,0,0,0,0,7050,40000000,63008,-1,19600000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
130,[Standard] Mad King's Folly,1,210,2,0,1,1,0,0,0,30,1060,130,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,19600000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
131,[Standard] Ember RKS,1,200,1,0,1,1,0,0,0,31,1060,131,-1,12,-1,8,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,19600000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
132,[Standard] Ember RKSS,1,200,1,0,1,1,0,0,0,32,1060,132,-1,-1,10,10,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,19600000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
133,[Standard] Call to Stone,1,200,2,0,1,1,0,0,0,34,1060,133,-1,25,-1,25,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
134,[Standard] farron,1,200,1,0,1,1,0,0,0,35,1060,134,-1,5,-1,10,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
135,[Standard] Crystal Blade,1,200,2,0,1,1,0,0,0,38,1060,135,-1,0,8,12,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
136,[Standard] Ember RKPG,1,200,2,0,1,1,0,0,0,39,1060,136,-1,15,12,12,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
137,[Standard] Spin Slash,1,200,2,0,1,1,0,0,0,40,1060,137,-1,5,-1,17,0,0,0,0,0,0,0,0,0,7050,12001202,63008,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
